Type,Latency
5,5.7002e+05
5,5.7092e+05
5,5.7182e+05
5,5.7267e+05
5,5.7346e+05
5,5.7421e+05
4,5.7488e+05
4,5.7554e+05
5,5.762e+05
5,5.7691e+05
4,5.7764e+05
4,5.7835e+05
5,5.7912e+05
5,5.7991e+05
5,5.8072e+05
5,5.8157e+05
5,5.8243e+05
5,5.833e+05
4,5.8405e+05
4,5.8473e+05
4,5.8537e+05
4,5.8602e+05
4,5.8669e+05
5,5.8749e+05
5,5.8845e+05
5,5.8946e+05
5,5.9046e+05
5,5.914e+05
5,5.923e+05
5,5.9314e+05
5,5.9395e+05
5,5.9473e+05
4,5.9543e+05
4,5.9608e+05
4,5.9673e+05
5,5.9742e+05
4,5.9808e+05
4,5.9876e+05
4,5.9944e+05
5,6.0024e+05
5,6.0118e+05
5,6.0211e+05
5,6.0300e+05
5,6.0389e+05
5,6.0472e+05
5,6.0544e+05
5,6.061e+05
4,6.0673e+05
4,6.0735e+05
4,6.0797e+05
4,6.0861e+05
4,6.093e+05
5,6.1014e+05
5,6.1109e+05
5,6.12e+05
5,6.1286e+05
5,6.1366e+05
5,6.1444e+05
5,6.1516e+05
4,6.1583e+05
4,6.1646e+05
4,6.1707e+05
4,6.1768e+05
4,6.1832e+05
4,6.19e+05
4,6.1974e+05
5,6.2064e+05
5,6.216e+05
5,6.2252e+05
5,6.2341e+05
5,6.2426e+05
5,6.2508e+05
5,6.2583e+05
4,6.2652e+05
4,6.272e+05
4,6.279e+05
4,6.2864e+05
4,6.2937e+05
